gen	female	male	gen_type	cultivar_name	maturity	city	state	trial	block	yield
H003	F03	M01	experimental	NA	105	Sorriso	MT	TRL_SOR_2025	B1	8003.7
H003	F03	M01	experimental	NA	105	Sorriso	MT	TRL_SOR_2025	B2	6711.8
H003	F03	M01	experimental	NA	105	Sorriso	MT	TRL_SOR_2025	B3	5767.8
H004	F04	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B1	6598.3
H004	F04	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B2	6442.8
H004	F04	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B3	6712.9
H004	F04	M01	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B1	5425.5
H004	F04	M01	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B2	4846.6
H004	F04	M01	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B3	5584
H004	F04	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B1	6341.5
H004	F04	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B2	6160.7
H004	F04	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B3	6886.3
H004	F04	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B1	6751
H004	F04	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B2	6714.7
H004	F04	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B3	7993.5
H004	F04	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B1	6670.7
H004	F04	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B2	6398.3
H004	F04	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B3	5076.3
H004	F04	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B1	6410.1
H004	F04	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B2	6189.8
H004	F04	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B3	7143.1
H005	F05	M01	experimental	NA	108	Chapadão do Sul	MS	TRL_CPS_2025	B1	7096.1
H005	F05	M01	experimental	NA	108	Chapadão do Sul	MS	TRL_CPS_2025	B2	7379.9
H005	F05	M01	experimental	NA	108	Chapadão do Sul	MS	TRL_CPS_2025	B3	7932.5
H005	F05	M01	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B1	5923.8
H005	F05	M01	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B2	5831.1
H005	F05	M01	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B3	6384.1
H005	F05	M01	experimental	NA	108	Sinop	MT	TRL_SIN_2025	B1	7370.4
H005	F05	M01	experimental	NA	108	Sinop	MT	TRL_SIN_2025	B2	5279.9
H005	F05	M01	experimental	NA	108	Sinop	MT	TRL_SIN_2025	B3	5126.2
H005	F05	M01	experimental	NA	108	Sorriso	MT	TRL_SOR_2025	B1	6897.8
H005	F05	M01	experimental	NA	108	Sorriso	MT	TRL_SOR_2025	B2	8124.4
H005	F05	M01	experimental	NA	108	Sorriso	MT	TRL_SOR_2025	B3	6496.1
H006	F06	M01	experimental	NA	103	Chapadão do Sul	MS	TRL_CPS_2025	B1	5559.8
H006	F06	M01	experimental	NA	103	Chapadão do Sul	MS	TRL_CPS_2025	B2	5571
H006	F06	M01	experimental	NA	103	Chapadão do Sul	MS	TRL_CPS_2025	B3	6311.4
H006	F06	M01	experimental	NA	103	Dourados	MS	TRL_DOU_2025	B1	3569.4
H006	F06	M01	experimental	NA	103	Dourados	MS	TRL_DOU_2025	B2	4096.1
H006	F06	M01	experimental	NA	103	Dourados	MS	TRL_DOU_2025	B3	2703.2
H006	F06	M01	experimental	NA	103	Jataí	GO	TRL_JAT_2025	B1	3435
H006	F06	M01	experimental	NA	103	Jataí	GO	TRL_JAT_2025	B2	4104.4
H006	F06	M01	experimental	NA	103	Jataí	GO	TRL_JAT_2025	B3	4870.4
H006	F06	M01	experimental	NA	103	Rio Verde	GO	TRL_RVD_2025	B1	6005.5
H006	F06	M01	experimental	NA	103	Rio Verde	GO	TRL_RVD_2025	B2	5399.4
H006	F06	M01	experimental	NA	103	Rio Verde	GO	TRL_RVD_2025	B3	5840.6
H006	F06	M01	experimental	NA	103	Sinop	MT	TRL_SIN_2025	B1	5221.5
H006	F06	M01	experimental	NA	103	Sinop	MT	TRL_SIN_2025	B2	4773.8
H006	F06	M01	experimental	NA	103	Sinop	MT	TRL_SIN_2025	B3	5506.4
H006	F06	M01	experimental	NA	103	Sorriso	MT	TRL_SOR_2025	B1	5327.1
H006	F06	M01	experimental	NA	103	Sorriso	MT	TRL_SOR_2025	B2	6145.6
H006	F06	M01	experimental	NA	103	Sorriso	MT	TRL_SOR_2025	B3	5005.9
H007	F07	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B1	7370.2
H007	F07	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B2	7447.5
H007	F07	M01	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B3	7022.7
H007	F07	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B1	7035
H007	F07	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B2	7644.3
H007	F07	M01	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B3	8561.2
H007	F07	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B1	6949.1
H007	F07	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B2	7216
H007	F07	M01	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B3	7611.2
H007	F07	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B1	6975.7
H007	F07	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B2	6379.2
H007	F07	M01	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B3	5344
H007	F07	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B1	6638.5
H007	F07	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B2	5587.3
H007	F07	M01	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B3	6381.5
H008	F08	M01	experimental	NA	101	Chapadão do Sul	MS	TRL_CPS_2025	B1	6562.8
H008	F08	M01	experimental	NA	101	Chapadão do Sul	MS	TRL_CPS_2025	B2	6953.5
H008	F08	M01	experimental	NA	101	Chapadão do Sul	MS	TRL_CPS_2025	B3	6957.5
H008	F08	M01	experimental	NA	101	Dourados	MS	TRL_DOU_2025	B1	4124.1
H008	F08	M01	experimental	NA	101	Dourados	MS	TRL_DOU_2025	B2	4992.2
H008	F08	M01	experimental	NA	101	Dourados	MS	TRL_DOU_2025	B3	5218.7
H008	F08	M01	experimental	NA	101	Jataí	GO	TRL_JAT_2025	B1	7331.5
H008	F08	M01	experimental	NA	101	Jataí	GO	TRL_JAT_2025	B2	6553.7
H008	F08	M01	experimental	NA	101	Jataí	GO	TRL_JAT_2025	B3	6260.1
H008	F08	M01	experimental	NA	101	Rio Verde	GO	TRL_RVD_2025	B1	6149.5
H008	F08	M01	experimental	NA	101	Rio Verde	GO	TRL_RVD_2025	B2	5040.4
H008	F08	M01	experimental	NA	101	Rio Verde	GO	TRL_RVD_2025	B3	6069.1
H008	F08	M01	experimental	NA	101	Sinop	MT	TRL_SIN_2025	B1	4848.5
H008	F08	M01	experimental	NA	101	Sinop	MT	TRL_SIN_2025	B2	4303.7
H008	F08	M01	experimental	NA	101	Sinop	MT	TRL_SIN_2025	B3	3067.3
H008	F08	M01	experimental	NA	101	Sorriso	MT	TRL_SOR_2025	B1	6685.4
H008	F08	M01	experimental	NA	101	Sorriso	MT	TRL_SOR_2025	B2	6740.4
H008	F08	M01	experimental	NA	101	Sorriso	MT	TRL_SOR_2025	B3	5817.8
H009	F09	M01	experimental	NA	112	Jataí	GO	TRL_JAT_2025	B1	6690.3
H009	F09	M01	experimental	NA	112	Jataí	GO	TRL_JAT_2025	B2	6548
H009	F09	M01	experimental	NA	112	Jataí	GO	TRL_JAT_2025	B3	6715.5
H009	F09	M01	experimental	NA	112	Rio Verde	GO	TRL_RVD_2025	B1	7413.9
H009	F09	M01	experimental	NA	112	Rio Verde	GO	TRL_RVD_2025	B2	7325
H009	F09	M01	experimental	NA	112	Rio Verde	GO	TRL_RVD_2025	B3	5949.1
H010	F10	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B1	10993.1
H010	F10	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B2	8603.6
H010	F10	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B3	9453.9
H010	F10	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B1	9834.3
H010	F10	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B2	8715.3
H010	F10	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B3	9984
H010	F10	M01	experimental	NA	105	Sinop	MT	TRL_SIN_2025	B1	3916.8
H010	F10	M01	experimental	NA	105	Sinop	MT	TRL_SIN_2025	B2	3759.4
H010	F10	M01	experimental	NA	105	Sinop	MT	TRL_SIN_2025	B3	4994.1
H011	F11	M01	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B1	7350.2
H011	F11	M01	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B2	7169.4
H011	F11	M01	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B3	5848.5
H011	F11	M01	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B1	5121.4
H011	F11	M01	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B2	5308.5
H011	F11	M01	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B3	4251.2
H011	F11	M01	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B1	6469.1
H011	F11	M01	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B2	5806.3
H011	F11	M01	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B3	5334.2
H011	F11	M01	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B1	6273.4
H011	F11	M01	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B2	6421.5
H011	F11	M01	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B3	6394
H012	F12	M01	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B1	8110.4
H012	F12	M01	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B2	6440.3
H012	F12	M01	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B3	7013
H012	F12	M01	experimental	NA	107	Sinop	MT	TRL_SIN_2025	B1	6202.1
H012	F12	M01	experimental	NA	107	Sinop	MT	TRL_SIN_2025	B2	6340.7
H012	F12	M01	experimental	NA	107	Sinop	MT	TRL_SIN_2025	B3	4614.4
H012	F12	M01	experimental	NA	107	Sorriso	MT	TRL_SOR_2025	B1	6099.4
H012	F12	M01	experimental	NA	107	Sorriso	MT	TRL_SOR_2025	B2	6209.8
H012	F12	M01	experimental	NA	107	Sorriso	MT	TRL_SOR_2025	B3	5144.3
H013	F13	M01	experimental	NA	111	Chapadão do Sul	MS	TRL_CPS_2025	B1	6426.3
H013	F13	M01	experimental	NA	111	Chapadão do Sul	MS	TRL_CPS_2025	B2	7672.2
H013	F13	M01	experimental	NA	111	Chapadão do Sul	MS	TRL_CPS_2025	B3	7704.3
H013	F13	M01	experimental	NA	111	Jataí	GO	TRL_JAT_2025	B1	5733.4
H013	F13	M01	experimental	NA	111	Jataí	GO	TRL_JAT_2025	B2	6656.4
H013	F13	M01	experimental	NA	111	Jataí	GO	TRL_JAT_2025	B3	6421.3
H013	F13	M01	experimental	NA	111	Rio Verde	GO	TRL_RVD_2025	B1	7025.7
H013	F13	M01	experimental	NA	111	Rio Verde	GO	TRL_RVD_2025	B2	7612.7
H013	F13	M01	experimental	NA	111	Rio Verde	GO	TRL_RVD_2025	B3	6866.2
H013	F13	M01	experimental	NA	111	Sinop	MT	TRL_SIN_2025	B1	6071.9
H013	F13	M01	experimental	NA	111	Sinop	MT	TRL_SIN_2025	B2	6129.1
H013	F13	M01	experimental	NA	111	Sinop	MT	TRL_SIN_2025	B3	6033
H013	F13	M01	experimental	NA	111	Sorriso	MT	TRL_SOR_2025	B1	6033
H013	F13	M01	experimental	NA	111	Sorriso	MT	TRL_SOR_2025	B2	7375.3
H013	F13	M01	experimental	NA	111	Sorriso	MT	TRL_SOR_2025	B3	7745.3
H014	F14	M01	experimental	NA	114	Chapadão do Sul	MS	TRL_CPS_2025	B1	6785.8
H014	F14	M01	experimental	NA	114	Chapadão do Sul	MS	TRL_CPS_2025	B2	5715.2
H014	F14	M01	experimental	NA	114	Chapadão do Sul	MS	TRL_CPS_2025	B3	6117.9
H014	F14	M01	experimental	NA	114	Jataí	GO	TRL_JAT_2025	B1	5475.4
H014	F14	M01	experimental	NA	114	Jataí	GO	TRL_JAT_2025	B2	6525.1
H014	F14	M01	experimental	NA	114	Jataí	GO	TRL_JAT_2025	B3	7106.6
H014	F14	M01	experimental	NA	114	Rio Verde	GO	TRL_RVD_2025	B1	6660.7
H014	F14	M01	experimental	NA	114	Rio Verde	GO	TRL_RVD_2025	B2	5634.3
H014	F14	M01	experimental	NA	114	Rio Verde	GO	TRL_RVD_2025	B3	6085.7
H014	F14	M01	experimental	NA	114	Sorriso	MT	TRL_SOR_2025	B1	7225.1
H014	F14	M01	experimental	NA	114	Sorriso	MT	TRL_SOR_2025	B2	5574.1
H014	F14	M01	experimental	NA	114	Sorriso	MT	TRL_SOR_2025	B3	6374.1
H015	F15	M01	experimental	NA	102	Chapadão do Sul	MS	TRL_CPS_2025	B1	7405.4
H015	F15	M01	experimental	NA	102	Chapadão do Sul	MS	TRL_CPS_2025	B2	7922.7
H015	F15	M01	experimental	NA	102	Chapadão do Sul	MS	TRL_CPS_2025	B3	7934.1
H015	F15	M01	experimental	NA	102	Rio Verde	GO	TRL_RVD_2025	B1	7499.7
H015	F15	M01	experimental	NA	102	Rio Verde	GO	TRL_RVD_2025	B2	6062.5
H015	F15	M01	experimental	NA	102	Rio Verde	GO	TRL_RVD_2025	B3	7619.1
H015	F15	M01	experimental	NA	102	Sinop	MT	TRL_SIN_2025	B1	4236.6
H015	F15	M01	experimental	NA	102	Sinop	MT	TRL_SIN_2025	B2	4424.7
H015	F15	M01	experimental	NA	102	Sinop	MT	TRL_SIN_2025	B3	5292.7
H016	F04	M02	experimental	NA	107	Chapadão do Sul	MS	TRL_CPS_2025	B1	9516.5
H016	F04	M02	experimental	NA	107	Chapadão do Sul	MS	TRL_CPS_2025	B2	8636.7
H016	F04	M02	experimental	NA	107	Chapadão do Sul	MS	TRL_CPS_2025	B3	8402.5
H016	F04	M02	experimental	NA	107	Jataí	GO	TRL_JAT_2025	B1	6508.2
H016	F04	M02	experimental	NA	107	Jataí	GO	TRL_JAT_2025	B2	7565.2
H016	F04	M02	experimental	NA	107	Jataí	GO	TRL_JAT_2025	B3	7816.7
H016	F04	M02	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B1	7528.9
H016	F04	M02	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B2	5687.5
H016	F04	M02	experimental	NA	107	Rio Verde	GO	TRL_RVD_2025	B3	5990.9
H017	F05	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B1	4484.3
H017	F05	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B2	5586.7
H017	F05	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B3	4359.3
H017	F05	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B1	7816.6
H017	F05	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B2	6671.5
H017	F05	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B3	7935.8
H017	F05	M02	experimental	NA	106	Rio Verde	GO	TRL_RVD_2025	B1	7394
H017	F05	M02	experimental	NA	106	Rio Verde	GO	TRL_RVD_2025	B2	7062.2
H017	F05	M02	experimental	NA	106	Rio Verde	GO	TRL_RVD_2025	B3	8477.9
H017	F05	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B1	6282.7
H017	F05	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B2	6111.4
H017	F05	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B3	5422
H017	F05	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B1	7130.8
H017	F05	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B2	7586.9
H017	F05	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B3	5895.4
H018	F06	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B1	3345.4
H018	F06	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B2	2382
H018	F06	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B3	4401.2
H018	F06	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B1	4313
H018	F06	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B2	4763.7
H018	F06	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B3	2996.2
H018	F06	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B1	4536.2
H018	F06	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B2	5178.7
H018	F06	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B3	4629.6
H019	F07	M02	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B1	4901.9
H019	F07	M02	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B2	4716
H019	F07	M02	experimental	NA	104	Chapadão do Sul	MS	TRL_CPS_2025	B3	4044.1
H019	F07	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B1	4073.4
H019	F07	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B2	4312.4
H019	F07	M02	experimental	NA	104	Dourados	MS	TRL_DOU_2025	B3	3909.8
H019	F07	M02	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B1	6076.3
H019	F07	M02	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B2	7394.4
H019	F07	M02	experimental	NA	104	Jataí	GO	TRL_JAT_2025	B3	8759.6
H019	F07	M02	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B1	6567.1
H019	F07	M02	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B2	3964
H019	F07	M02	experimental	NA	104	Rio Verde	GO	TRL_RVD_2025	B3	4430.3
H019	F07	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B1	4662.9
H019	F07	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B2	5960.5
H019	F07	M02	experimental	NA	104	Sinop	MT	TRL_SIN_2025	B3	4981.8
H019	F07	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B1	9084.1
H019	F07	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B2	9725.2
H019	F07	M02	experimental	NA	104	Sorriso	MT	TRL_SOR_2025	B3	9162.9
H020	F08	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B1	7107.1
H020	F08	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B2	7115.1
H020	F08	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B3	6932.2
H020	F08	M02	experimental	NA	109	Rio Verde	GO	TRL_RVD_2025	B1	7914.5
H020	F08	M02	experimental	NA	109	Rio Verde	GO	TRL_RVD_2025	B2	7194.9
H020	F08	M02	experimental	NA	109	Rio Verde	GO	TRL_RVD_2025	B3	5562.5
H020	F08	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B1	5729.2
H020	F08	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B2	5642.3
H020	F08	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B3	5056.3
H021	F09	M02	experimental	NA	115	Dourados	MS	TRL_DOU_2025	B1	2846.4
H021	F09	M02	experimental	NA	115	Dourados	MS	TRL_DOU_2025	B2	3594.4
H021	F09	M02	experimental	NA	115	Dourados	MS	TRL_DOU_2025	B3	3342.1
H021	F09	M02	experimental	NA	115	Jataí	GO	TRL_JAT_2025	B1	5830.4
H021	F09	M02	experimental	NA	115	Jataí	GO	TRL_JAT_2025	B2	8221.9
H021	F09	M02	experimental	NA	115	Jataí	GO	TRL_JAT_2025	B3	5949.1
H021	F09	M02	experimental	NA	115	Rio Verde	GO	TRL_RVD_2025	B1	6964.6
H021	F09	M02	experimental	NA	115	Rio Verde	GO	TRL_RVD_2025	B2	7719.9
H021	F09	M02	experimental	NA	115	Rio Verde	GO	TRL_RVD_2025	B3	6117.8
H021	F09	M02	experimental	NA	115	Sorriso	MT	TRL_SOR_2025	B1	6403.1
H021	F09	M02	experimental	NA	115	Sorriso	MT	TRL_SOR_2025	B2	5792.2
H021	F09	M02	experimental	NA	115	Sorriso	MT	TRL_SOR_2025	B3	5647.5
H022	F10	M02	experimental	NA	109	Dourados	MS	TRL_DOU_2025	B1	4106.4
H022	F10	M02	experimental	NA	109	Dourados	MS	TRL_DOU_2025	B2	5172.1
H022	F10	M02	experimental	NA	109	Dourados	MS	TRL_DOU_2025	B3	5835.7
H022	F10	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B1	6931.1
H022	F10	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B2	8332.2
H022	F10	M02	experimental	NA	109	Jataí	GO	TRL_JAT_2025	B3	7612.9
H022	F10	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B1	5750.7
H022	F10	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B2	5470.6
H022	F10	M02	experimental	NA	109	Sinop	MT	TRL_SIN_2025	B3	5326.7
H023	F11	M02	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B1	7938.1
H023	F11	M02	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B2	7217.4
H023	F11	M02	experimental	NA	106	Chapadão do Sul	MS	TRL_CPS_2025	B3	7544.5
H023	F11	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B1	5659.9
H023	F11	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B2	4653.7
H023	F11	M02	experimental	NA	106	Dourados	MS	TRL_DOU_2025	B3	4831.8
H023	F11	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B1	7333.2
H023	F11	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B2	6157
H023	F11	M02	experimental	NA	106	Jataí	GO	TRL_JAT_2025	B3	6972
H023	F11	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B1	5916.6
H023	F11	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B2	6811.2
H023	F11	M02	experimental	NA	106	Sinop	MT	TRL_SIN_2025	B3	6055.3
H023	F11	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B1	5409.3
H023	F11	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B2	5685.1
H023	F11	M02	experimental	NA	106	Sorriso	MT	TRL_SOR_2025	B3	3229
H024	F12	M02	experimental	NA	108	Dourados	MS	TRL_DOU_2025	B1	4870.8
H024	F12	M02	experimental	NA	108	Dourados	MS	TRL_DOU_2025	B2	5629.9
H024	F12	M02	experimental	NA	108	Dourados	MS	TRL_DOU_2025	B3	6718.4
H024	F12	M02	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B1	6209.1
H024	F12	M02	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B2	6886.4
H024	F12	M02	experimental	NA	108	Jataí	GO	TRL_JAT_2025	B3	6556.5
H024	F12	M02	experimental	NA	108	Rio Verde	GO	TRL_RVD_2025	B1	5640.3
H024	F12	M02	experimental	NA	108	Rio Verde	GO	TRL_RVD_2025	B2	6057.5
H024	F12	M02	experimental	NA	108	Rio Verde	GO	TRL_RVD_2025	B3	6637.9
H024	F12	M02	experimental	NA	108	Sinop	MT	TRL_SIN_2025	B1	5926.2
