gen	env	location	state	lat	lon	block	y
L011	E1	Anapolis	GO	-16.33	-48.95	B3	2841.6
L012	E1	Anapolis	GO	-16.33	-48.95	B1	2674.7
L012	E1	Anapolis	GO	-16.33	-48.95	B2	2075
L012	E1	Anapolis	GO	-16.33	-48.95	B3	2191.5
L013	E1	Anapolis	GO	-16.33	-48.95	B1	2416.4
L013	E1	Anapolis	GO	-16.33	-48.95	B2	3380.9
L013	E1	Anapolis	GO	-16.33	-48.95	B3	3256.3
L014	E1	Anapolis	GO	-16.33	-48.95	B1	2954.2
L014	E1	Anapolis	GO	-16.33	-48.95	B2	3512.3
L014	E1	Anapolis	GO	-16.33	-48.95	B3	2618
L015	E1	Anapolis	GO	-16.33	-48.95	B1	2891.6
L015	E1	Anapolis	GO	-16.33	-48.95	B2	2704.6
L015	E1	Anapolis	GO	-16.33	-48.95	B3	2663.4
L016	E1	Anapolis	GO	-16.33	-48.95	B1	2932.4
L016	E1	Anapolis	GO	-16.33	-48.95	B2	3076.4
L016	E1	Anapolis	GO	-16.33	-48.95	B3	3436.7
L017	E1	Anapolis	GO	-16.33	-48.95	B1	3156.5
L017	E1	Anapolis	GO	-16.33	-48.95	B2	3689.4
L017	E1	Anapolis	GO	-16.33	-48.95	B3	3379.3
L018	E1	Anapolis	GO	-16.33	-48.95	B1	2860.1
L018	E1	Anapolis	GO	-16.33	-48.95	B2	2745.9
L018	E1	Anapolis	GO	-16.33	-48.95	B3	3028.4
L019	E1	Anapolis	GO	-16.33	-48.95	B1	3346.4
L019	E1	Anapolis	GO	-16.33	-48.95	B2	2782.8
L019	E1	Anapolis	GO	-16.33	-48.95	B3	3661.9
L020	E1	Anapolis	GO	-16.33	-48.95	B1	2958.2
L020	E1	Anapolis	GO	-16.33	-48.95	B2	2773
L020	E1	Anapolis	GO	-16.33	-48.95	B3	2827.7
L021	E1	Anapolis	GO	-16.33	-48.95	B1	3737
L021	E1	Anapolis	GO	-16.33	-48.95	B2	3110.2
L021	E1	Anapolis	GO	-16.33	-48.95	B3	2908.1
L022	E1	Anapolis	GO	-16.33	-48.95	B1	3297.2
L022	E1	Anapolis	GO	-16.33	-48.95	B2	3432.6
L022	E1	Anapolis	GO	-16.33	-48.95	B3	3298.8
L023	E1	Anapolis	GO	-16.33	-48.95	B1	3039.2
L023	E1	Anapolis	GO	-16.33	-48.95	B2	2521.7
L023	E1	Anapolis	GO	-16.33	-48.95	B3	2955.6
L024	E1	Anapolis	GO	-16.33	-48.95	B1	2209.7
L024	E1	Anapolis	GO	-16.33	-48.95	B2	2646.9
L024	E1	Anapolis	GO	-16.33	-48.95	B3	2467
L025	E1	Anapolis	GO	-16.33	-48.95	B1	3236.7
L025	E1	Anapolis	GO	-16.33	-48.95	B2	3705.1
L025	E1	Anapolis	GO	-16.33	-48.95	B3	3804.8
L026	E1	Anapolis	GO	-16.33	-48.95	B1	3501.4
L026	E1	Anapolis	GO	-16.33	-48.95	B2	2755.7
L026	E1	Anapolis	GO	-16.33	-48.95	B3	2683.3
L027	E1	Anapolis	GO	-16.33	-48.95	B1	3736.9
L027	E1	Anapolis	GO	-16.33	-48.95	B2	3514.5
L027	E1	Anapolis	GO	-16.33	-48.95	B3	3491.4
L028	E1	Anapolis	GO	-16.33	-48.95	B1	3564.7
L028	E1	Anapolis	GO	-16.33	-48.95	B2	2903.8
L028	E1	Anapolis	GO	-16.33	-48.95	B3	3408.2
L029	E1	Anapolis	GO	-16.33	-48.95	B1	3420.7
L029	E1	Anapolis	GO	-16.33	-48.95	B2	3642.6
L029	E1	Anapolis	GO	-16.33	-48.95	B3	3246
L030	E1	Anapolis	GO	-16.33	-48.95	B1	1825
L030	E1	Anapolis	GO	-16.33	-48.95	B2	2511
L030	E1	Anapolis	GO	-16.33	-48.95	B3	2142.4
L031	E1	Anapolis	GO	-16.33	-48.95	B1	3068.1
L031	E1	Anapolis	GO	-16.33	-48.95	B2	3079.5
L031	E1	Anapolis	GO	-16.33	-48.95	B3	3175.6
L032	E1	Anapolis	GO	-16.33	-48.95	B1	2111.8
L032	E1	Anapolis	GO	-16.33	-48.95	B2	2324.8
L032	E1	Anapolis	GO	-16.33	-48.95	B3	2452.4
L033	E1	Anapolis	GO	-16.33	-48.95	B1	2127.2
L033	E1	Anapolis	GO	-16.33	-48.95	B2	2209.7
L033	E1	Anapolis	GO	-16.33	-48.95	B3	2179
L034	E1	Anapolis	GO	-16.33	-48.95	B1	2530
L034	E1	Anapolis	GO	-16.33	-48.95	B2	1915.7
L034	E1	Anapolis	GO	-16.33	-48.95	B3	2040.7
L035	E1	Anapolis	GO	-16.33	-48.95	B1	2164.7
L035	E1	Anapolis	GO	-16.33	-48.95	B2	2566.5
L035	E1	Anapolis	GO	-16.33	-48.95	B3	2617.6
L036	E1	Anapolis	GO	-16.33	-48.95	B1	2938.3
L036	E1	Anapolis	GO	-16.33	-48.95	B2	2675.2
L036	E1	Anapolis	GO	-16.33	-48.95	B3	3005.6
CHK01	E2	Luziania	GO	-16.25	-47.95	B1	3643.2
CHK01	E2	Luziania	GO	-16.25	-47.95	B2	3670.4
CHK01	E2	Luziania	GO	-16.25	-47.95	B3	3763.3
CHK02	E2	Luziania	GO	-16.25	-47.95	B1	3010.7
CHK02	E2	Luziania	GO	-16.25	-47.95	B2	3258.6
CHK02	E2	Luziania	GO	-16.25	-47.95	B3	3564.7
CHK03	E2	Luziania	GO	-16.25	-47.95	B1	2870.3
CHK03	E2	Luziania	GO	-16.25	-47.95	B2	2618.5
CHK03	E2	Luziania	GO	-16.25	-47.95	B3	2620.9
CHK04	E2	Luziania	GO	-16.25	-47.95	B1	3433.7
CHK04	E2	Luziania	GO	-16.25	-47.95	B2	4182.8
CHK04	E2	Luziania	GO	-16.25	-47.95	B3	3771.6
L001	E2	Luziania	GO	-16.25	-47.95	B1	3010
L001	E2	Luziania	GO	-16.25	-47.95	B2	3613.3
L001	E2	Luziania	GO	-16.25	-47.95	B3	3216
L002	E2	Luziania	GO	-16.25	-47.95	B1	3512.2
L002	E2	Luziania	GO	-16.25	-47.95	B2	3675.5
L002	E2	Luziania	GO	-16.25	-47.95	B3	2959.1
L003	E2	Luziania	GO	-16.25	-47.95	B1	3157.8
L003	E2	Luziania	GO	-16.25	-47.95	B2	3919.6
L003	E2	Luziania	GO	-16.25	-47.95	B3	2725.5
L004	E2	Luziania	GO	-16.25	-47.95	B1	2838.4
L004	E2	Luziania	GO	-16.25	-47.95	B2	3050.4
L004	E2	Luziania	GO	-16.25	-47.95	B3	2495.4
L005	E2	Luziania	GO	-16.25	-47.95	B1	2987.2
L005	E2	Luziania	GO	-16.25	-47.95	B2	3469.1
L005	E2	Luziania	GO	-16.25	-47.95	B3	3107.5
L006	E2	Luziania	GO	-16.25	-47.95	B1	3000.4
L006	E2	Luziania	GO	-16.25	-47.95	B2	3477.8
L006	E2	Luziania	GO	-16.25	-47.95	B3	3629.7
L007	E2	Luziania	GO	-16.25	-47.95	B1	3850
L007	E2	Luziania	GO	-16.25	-47.95	B2	4248.8
L007	E2	Luziania	GO	-16.25	-47.95	B3	3489.4
L008	E2	Luziania	GO	-16.25	-47.95	B1	3253.5
L008	E2	Luziania	GO	-16.25	-47.95	B2	3624.4
L008	E2	Luziania	GO	-16.25	-47.95	B3	3651.4
L009	E2	Luziania	GO	-16.25	-47.95	B1	1835
L009	E2	Luziania	GO	-16.25	-47.95	B2	2123.2
L009	E2	Luziania	GO	-16.25	-47.95	B3	2258.8
L010	E2	Luziania	GO	-16.25	-47.95	B1	2314.3
L010	E2	Luziania	GO	-16.25	-47.95	B2	2669.2
L010	E2	Luziania	GO	-16.25	-47.95	B3	2671
L011	E2	Luziania	GO	-16.25	-47.95	B1	2915.5
L011	E2	Luziania	GO	-16.25	-47.95	B2	3967.8
L011	E2	Luziania	GO	-16.25	-47.95	B3	3418.4
L012	E2	Luziania	GO	-16.25	-47.95	B1	2979.2
L012	E2	Luziania	GO	-16.25	-47.95	B2	2409.9
L012	E2	Luziania	GO	-16.25	-47.95	B3	3018.1
L013	E2	Luziania	GO	-16.25	-47.95	B1	2907.2
L013	E2	Luziania	GO	-16.25	-47.95	B2	3106.2
L013	E2	Luziania	GO	-16.25	-47.95	B3	3232.8
L014	E2	Luziania	GO	-16.25	-47.95	B1	2462.5
L014	E2	Luziania	GO	-16.25	-47.95	B2	3304.8
L014	E2	Luziania	GO	-16.25	-47.95	B3	2660.4
L015	E2	Luziania	GO	-16.25	-47.95	B1	2526.7
L015	E2	Luziania	GO	-16.25	-47.95	B2	3080.1
L015	E2	Luziania	GO	-16.25	-47.95	B3	2171.9
L016	E2	Luziania	GO	-16.25	-47.95	B1	2793.6
L016	E2	Luziania	GO	-16.25	-47.95	B2	2795.3
L016	E2	Luziania	GO	-16.25	-47.95	B3	3518.3
L017	E2	Luziania	GO	-16.25	-47.95	B1	2985.5
L017	E2	Luziania	GO	-16.25	-47.95	B2	3385.3
L017	E2	Luziania	GO	-16.25	-47.95	B3	3289.2
L018	E2	Luziania	GO	-16.25	-47.95	B1	2545.2
L018	E2	Luziania	GO	-16.25	-47.95	B2	2818.6
L018	E2	Luziania	GO	-16.25	-47.95	B3	2011.6
L019	E2	Luziania	GO	-16.25	-47.95	B1	3612.8
L019	E2	Luziania	GO	-16.25	-47.95	B2	3639.9
L019	E2	Luziania	GO	-16.25	-47.95	B3	3099.2
L020	E2	Luziania	GO	-16.25	-47.95	B1	3009.9
L020	E2	Luziania	GO	-16.25	-47.95	B2	3246.7
L020	E2	Luziania	GO	-16.25	-47.95	B3	2723.8
L021	E2	Luziania	GO	-16.25	-47.95	B1	2774.1
L021	E2	Luziania	GO	-16.25	-47.95	B2	2897.2
L021	E2	Luziania	GO	-16.25	-47.95	B3	3327.2
L022	E2	Luziania	GO	-16.25	-47.95	B1	2637.7
L022	E2	Luziania	GO	-16.25	-47.95	B2	3417.5
L022	E2	Luziania	GO	-16.25	-47.95	B3	3113
L023	E2	Luziania	GO	-16.25	-47.95	B1	3573
L023	E2	Luziania	GO	-16.25	-47.95	B2	3378.1
L023	E2	Luziania	GO	-16.25	-47.95	B3	3259.4
L024	E2	Luziania	GO	-16.25	-47.95	B1	3075.7
L024	E2	Luziania	GO	-16.25	-47.95	B2	3186.5
L024	E2	Luziania	GO	-16.25	-47.95	B3	3417.3
L025	E2	Luziania	GO	-16.25	-47.95	B1	2615.1
L025	E2	Luziania	GO	-16.25	-47.95	B2	3387.5
L025	E2	Luziania	GO	-16.25	-47.95	B3	2983.8
L026	E2	Luziania	GO	-16.25	-47.95	B1	3932.5
L026	E2	Luziania	GO	-16.25	-47.95	B2	4663.6
L026	E2	Luziania	GO	-16.25	-47.95	B3	4568.1
L027	E2	Luziania	GO	-16.25	-47.95	B1	4242.7
L027	E2	Luziania	GO	-16.25	-47.95	B2	4008.3
L027	E2	Luziania	GO	-16.25	-47.95	B3	3609.5
L028	E2	Luziania	GO	-16.25	-47.95	B1	3326.3
L028	E2	Luziania	GO	-16.25	-47.95	B2	3868.3
L028	E2	Luziania	GO	-16.25	-47.95	B3	3497.9
L029	E2	Luziania	GO	-16.25	-47.95	B1	3576.8
L029	E2	Luziania	GO	-16.25	-47.95	B2	3684.4
L029	E2	Luziania	GO	-16.25	-47.95	B3	3771.5
L030	E2	Luziania	GO	-16.25	-47.95	B1	3273
L030	E2	Luziania	GO	-16.25	-47.95	B2	4137.7
L030	E2	Luziania	GO	-16.25	-47.95	B3	3751
L031	E2	Luziania	GO	-16.25	-47.95	B1	2502.7
L031	E2	Luziania	GO	-16.25	-47.95	B2	2704.3
L031	E2	Luziania	GO	-16.25	-47.95	B3	2210.7
L032	E2	Luziania	GO	-16.25	-47.95	B1	1820
L032	E2	Luziania	GO	-16.25	-47.95	B2	2123.8
L032	E2	Luziania	GO	-16.25	-47.95	B3	2462.7
L033	E2	Luziania	GO	-16.25	-47.95	B1	2085.2
L033	E2	Luziania	GO	-16.25	-47.95	B2	2604.6
L033	E2	Luziania	GO	-16.25	-47.95	B3	2504.9
L034	E2	Luziania	GO	-16.25	-47.95	B1	2531.6
L034	E2	Luziania	GO	-16.25	-47.95	B2	2061.5
L034	E2	Luziania	GO	-16.25	-47.95	B3	1815.7
L035	E2	Luziania	GO	-16.25	-47.95	B1	2409.4
L035	E2	Luziania	GO	-16.25	-47.95	B2	2151.2
L035	E2	Luziania	GO	-16.25	-47.95	B3	2244.1
L036	E2	Luziania	GO	-16.25	-47.95	B1	3202.2
L036	E2	Luziania	GO	-16.25	-47.95	B2	2966.6
L036	E2	Luziania	GO	-16.25	-47.95	B3	2478.1
CHK01	E3	Jatai	GO	-17.88	-51.72	B1	4482.2
CHK01	E3	Jatai	GO	-17.88	-51.72	B2	4789.4
CHK01	E3	Jatai	GO	-17.88	-51.72	B3	4883.9
CHK02	E3	Jatai	GO	-17.88	-51.72	B1	3457.4
CHK02	E3	Jatai	GO	-17.88	-51.72	B2	3158.6
CHK02	E3	Jatai	GO	-17.88	-51.72	B3	3724.6
CHK03	E3	Jatai	GO	-17.88	-51.72	B1	2515.1
CHK03	E3	Jatai	GO	-17.88	-51.72	B2	3354.2
CHK03	E3	Jatai	GO	-17.88	-51.72	B3	2824.8
CHK04	E3	Jatai	GO	-17.88	-51.72	B1	4648.3
CHK04	E3	Jatai	GO	-17.88	-51.72	B2	4605.5
CHK04	E3	Jatai	GO	-17.88	-51.72	B3	4070
L001	E3	Jatai	GO	-17.88	-51.72	B1	3286.5
L001	E3	Jatai	GO	-17.88	-51.72	B2	3242.1
L001	E3	Jatai	GO	-17.88	-51.72	B3	3774.3
L002	E3	Jatai	GO	-17.88	-51.72	B1	3622
L002	E3	Jatai	GO	-17.88	-51.72	B2	3245.6
L002	E3	Jatai	GO	-17.88	-51.72	B3	3506.8
L003	E3	Jatai	GO	-17.88	-51.72	B1	3444.2
L003	E3	Jatai	GO	-17.88	-51.72	B2	3021.8
L003	E3	Jatai	GO	-17.88	-51.72	B3	4057.5
L004	E3	Jatai	GO	-17.88	-51.72	B1	3377.7
L004	E3	Jatai	GO	-17.88	-51.72	B2	3845.9
L004	E3	Jatai	GO	-17.88	-51.72	B3	3400
L005	E3	Jatai	GO	-17.88	-51.72	B1	3811
L005	E3	Jatai	GO	-17.88	-51.72	B2	3569.4
L005	E3	Jatai	GO	-17.88	-51.72	B3	3672
L006	E3	Jatai	GO	-17.88	-51.72	B1	3511.8
L006	E3	Jatai	GO	-17.88	-51.72	B2	3518.6
L006	E3	Jatai	GO	-17.88	-51.72	B3	3604.1
L007	E3	Jatai	GO	-17.88	-51.72	B1	4452.4
L007	E3	Jatai	GO	-17.88	-51.72	B2	4512.5
L007	E3	Jatai	GO	-17.88	-51.72	B3	4684.7
L008	E3	Jatai	GO	-17.88	-51.72	B1	3998.7
L008	E3	Jatai	GO	-17.88	-51.72	B2	4609.2
L008	E3	Jatai	GO	-17.88	-51.72	B3	4132.8
L009	E3	Jatai	GO	-17.88	-51.72	B1	2924.3
L009	E3	Jatai	GO	-17.88	-51.72	B2	2612.4
L009	E3	Jatai	GO	-17.88	-51.72	B3	2398.7
L010	E3	Jatai	GO	-17.88	-51.72	B1	4014.5
L010	E3	Jatai	GO	-17.88	-51.72	B2	3427.8
L010	E3	Jatai	GO	-17.88	-51.72	B3	2984.9
L011	E3	Jatai	GO	-17.88	-51.72	B1	4042.8
L011	E3	Jatai	GO	-17.88	-51.72	B2	3901.7
L011	E3	Jatai	GO	-17.88	-51.72	B3	3723.7
L012	E3	Jatai	GO	-17.88	-51.72	B1	2997.8
L012	E3	Jatai	GO	-17.88	-51.72	B2	2894.1
L012	E3	Jatai	GO	-17.88	-51.72	B3	2986.5
L013	E3	Jatai	GO	-17.88	-51.72	B1	4189.1
L013	E3	Jatai	GO	-17.88	-51.72	B2	3661.2
L013	E3	Jatai	GO	-17.88	-51.72	B3	3545.8
L014	E3	Jatai	GO	-17.88	-51.72	B1	3971
L014	E3	Jatai	GO	-17.88	-51.72	B2	3069.1
L014	E3	Jatai	GO	-17.88	-51.72	B3	3023.6
L015	E3	Jatai	GO	-17.88	-51.72	B1	3878.9
L015	E3	Jatai	GO	-17.88	-51.72	B2	3053.4
L015	E3	Jatai	GO	-17.88	-51.72	B3	3505.5
L016	E3	Jatai	GO	-17.88	-51.72	B1	4023.3
L016	E3	Jatai	GO	-17.88	-51.72	B2	3325.5
L016	E3	Jatai	GO	-17.88	-51.72	B3	3737
L017	E3	Jatai	GO	-17.88	-51.72	B1	4050
L017	E3	Jatai	GO	-17.88	-51.72	B2	3411.5
L017	E3	Jatai	GO	-17.88	-51.72	B3	3929.5
L018	E3	Jatai	GO	-17.88	-51.72	B1	3751.8
L018	E3	Jatai	GO	-17.88	-51.72	B2	3170.9
L018	E3	Jatai	GO	-17.88	-51.72	B3	3033.3
L019	E3	Jatai	GO	-17.88	-51.72	B1	3303.5
L019	E3	Jatai	GO	-17.88	-51.72	B2	3254.5
L019	E3	Jatai	GO	-17.88	-51.72	B3	3217.3
L020	E3	Jatai	GO	-17.88	-51.72	B1	3742.4
L020	E3	Jatai	GO	-17.88	-51.72	B2	3703.8
L020	E3	Jatai	GO	-17.88	-51.72	B3	3278.7
L021	E3	Jatai	GO	-17.88	-51.72	B1	3565.3
L021	E3	Jatai	GO	-17.88	-51.72	B2	3129.9
L021	E3	Jatai	GO	-17.88	-51.72	B3	3395.3
L022	E3	Jatai	GO	-17.88	-51.72	B1	3859.9
L022	E3	Jatai	GO	-17.88	-51.72	B2	3486.1
L022	E3	Jatai	GO	-17.88	-51.72	B3	2784.2
L023	E3	Jatai	GO	-17.88	-51.72	B1	4327.4
L023	E3	Jatai	GO	-17.88	-51.72	B2	4134.1
L023	E3	Jatai	GO	-17.88	-51.72	B3	4154.6
L024	E3	Jatai	GO	-17.88	-51.72	B1	3296.9
L024	E3	Jatai	GO	-17.88	-51.72	B2	3326.9
L024	E3	Jatai	GO	-17.88	-51.72	B3	4226
L025	E3	Jatai	GO	-17.88	-51.72	B1	4307
L025	E3	Jatai	GO	-17.88	-51.72	B2	3798.5
L025	E3	Jatai	GO	-17.88	-51.72	B3	3328.4
L026	E3	Jatai	GO	-17.88	-51.72	B1	3834.5
L026	E3	Jatai	GO	-17.88	-51.72	B2	4211.9
L026	E3	Jatai	GO	-17.88	-51.72	B3	4089.2
L027	E3	Jatai	GO	-17.88	-51.72	B1	3982.3
L027	E3	Jatai	GO	-17.88	-51.72	B2	3995.8
L027	E3	Jatai	GO	-17.88	-51.72	B3	4266.9
L028	E3	Jatai	GO	-17.88	-51.72	B1	3693.8
L028	E3	Jatai	GO	-17.88	-51.72	B2	3186
L028	E3	Jatai	GO	-17.88	-51.72	B3	3241.5
L029	E3	Jatai	GO	-17.88	-51.72	B1	4662
L029	E3	Jatai	GO	-17.88	-51.72	B2	4759.7
L029	E3	Jatai	GO	-17.88	-51.72	B3	3851.7
L030	E3	Jatai	GO	-17.88	-51.72	B1	3155.8
L030	E3	Jatai	GO	-17.88	-51.72	B2	3621.8
L030	E3	Jatai	GO	-17.88	-51.72	B3	3859.6
L031	E3	Jatai	GO	-17.88	-51.72	B1	2622
L031	E3	Jatai	GO	-17.88	-51.72	B2	2666.8
L031	E3	Jatai	GO	-17.88	-51.72	B3	2973.7
L032	E3	Jatai	GO	-17.88	-51.72	B1	1922.1
L032	E3	Jatai	GO	-17.88	-51.72	B2	2046.9
L032	E3	Jatai	GO	-17.88	-51.72	B3	1905.4
L033	E3	Jatai	GO	-17.88	-51.72	B1	2940.9
L033	E3	Jatai	GO	-17.88	-51.72	B2	2896.5
L033	E3	Jatai	GO	-17.88	-51.72	B3	2910.9
L034	E3	Jatai	GO	-17.88	-51.72	B1	2741.3
L034	E3	Jatai	GO	-17.88	-51.72	B2	2295.8
L034	E3	Jatai	GO	-17.88	-51.72	B3	2565.5
L035	E3	Jatai	GO	-17.88	-51.72	B1	2661.6
L035	E3	Jatai	GO	-17.88	-51.72	B2	1891.2
L035	E3	Jatai	GO	-17.88	-51.72	B3	2200.4
L036	E3	Jatai	GO	-17.88	-51.72	B1	3062.1
L036	E3	Jatai	GO	-17.88	-51.72	B2	3089.4
L036	E3	Jatai	GO	-17.88	-51.72	B3	3846.6
CHK01	E4	RioVerde	GO	-17.8	-51.93	B1	4476.5
CHK01	E4	RioVerde	GO	-17.8	-51.93	B2	4908.8
CHK01	E4	RioVerde	GO	-17.8	-51.93	B3	4597.7
CHK02	E4	RioVerde	GO	-17.8	-51.93	B1	4302.5
CHK02	E4	RioVerde	GO	-17.8	-51.93	B2	4466.2
CHK02	E4	RioVerde	GO	-17.8	-51.93	B3	4561
CHK03	E4	RioVerde	GO	-17.8	-51.93	B1	3971.3
CHK03	E4	RioVerde	GO	-17.8	-51.93	B2	3605.4
CHK03	E4	RioVerde	GO	-17.8	-51.93	B3	3812.5
CHK04	E4	RioVerde	GO	-17.8	-51.93	B1	5387.8
CHK04	E4	RioVerde	GO	-17.8	-51.93	B2	4389.7
CHK04	E4	RioVerde	GO	-17.8	-51.93	B3	5031.7
L001	E4	RioVerde	GO	-17.8	-51.93	B1	3940.2
L001	E4	RioVerde	GO	-17.8	-51.93	B2	4391.6
L001	E4	RioVerde	GO	-17.8	-51.93	B3	3595.1
L002	E4	RioVerde	GO	-17.8	-51.93	B1	4399.4
L002	E4	RioVerde	GO	-17.8	-51.93	B2	4473.5
L002	E4	RioVerde	GO	-17.8	-51.93	B3	4654.9
L003	E4	RioVerde	GO	-17.8	-51.93	B1	4085.3
L003	E4	RioVerde	GO	-17.8	-51.93	B2	3650.4
L003	E4	RioVerde	GO	-17.8	-51.93	B3	3572.2
L004	E4	RioVerde	GO	-17.8	-51.93	B1	4164.7
L004	E4	RioVerde	GO	-17.8	-51.93	B2	4025.7
L004	E4	RioVerde	GO	-17.8	-51.93	B3	3974.4
L005	E4	RioVerde	GO	-17.8	-51.93	B1	5397.1
L005	E4	RioVerde	GO	-17.8	-51.93	B2	4004
L005	E4	RioVerde	GO	-17.8	-51.93	B3	4642.2
L006	E4	RioVerde	GO	-17.8	-51.93	B1	4123.6
L006	E4	RioVerde	GO	-17.8	-51.93	B2	3997.4
L006	E4	RioVerde	GO	-17.8	-51.93	B3	3454.2
L007	E4	RioVerde	GO	-17.8	-51.93	B1	4785.9
L007	E4	RioVerde	GO	-17.8	-51.93	B2	4576.2
L007	E4	RioVerde	GO	-17.8	-51.93	B3	5009
L008	E4	RioVerde	GO	-17.8	-51.93	B1	4959.6
L008	E4	RioVerde	GO	-17.8	-51.93	B2	4995.1
L008	E4	RioVerde	GO	-17.8	-51.93	B3	4409.1
L009	E4	RioVerde	GO	-17.8	-51.93	B1	3652.8
L009	E4	RioVerde	GO	-17.8	-51.93	B2	3330.5
L009	E4	RioVerde	GO	-17.8	-51.93	B3	2582.8
L010	E4	RioVerde	GO	-17.8	-51.93	B1	4376.1
L010	E4	RioVerde	GO	-17.8	-51.93	B2	3501.2
L010	E4	RioVerde	GO	-17.8	-51.93	B3	3750.2
L011	E4	RioVerde	GO	-17.8	-51.93	B1	4350.4
L011	E4	RioVerde	GO	-17.8	-51.93	B2	4651.7
L011	E4	RioVerde	GO	-17.8	-51.93	B3	4279.1
L012	E4	RioVerde	GO	-17.8	-51.93	B1	4335.9
L012	E4	RioVerde	GO	-17.8	-51.93	B2	3928.4
L012	E4	RioVerde	GO	-17.8	-51.93	B3	3827
L013	E4	RioVerde	GO	-17.8	-51.93	B1	4104.8
L013	E4	RioVerde	GO	-17.8	-51.93	B2	3967.9
L013	E4	RioVerde	GO	-17.8	-51.93	B3	4486.6
L014	E4	RioVerde	GO	-17.8	-51.93	B1	3832.2
L014	E4	RioVerde	GO	-17.8	-51.93	B2	4302.6
L014	E4	RioVerde	GO	-17.8	-51.93	B3	3495.3
L015	E4	RioVerde	GO	-17.8	-51.93	B1	4495.5
L015	E4	RioVerde	GO	-17.8	-51.93	B2	5091
L015	E4	RioVerde	GO	-17.8	-51.93	B3	4318.7
L016	E4	RioVerde	GO	-17.8	-51.93	B1	3759.1
L016	E4	RioVerde	GO	-17.8	-51.93	B2	3841.3
L016	E4	RioVerde	GO	-17.8	-51.93	B3	4157
L017	E4	RioVerde	GO	-17.8	-51.93	B1	3879.2
L017	E4	RioVerde	GO	-17.8	-51.93	B2	4676.7
L017	E4	RioVerde	GO	-17.8	-51.93	B3	3422.1
L018	E4	RioVerde	GO	-17.8	-51.93	B1	3490
L018	E4	RioVerde	GO	-17.8	-51.93	B2	3470.8
L018	E4	RioVerde	GO	-17.8	-51.93	B3	2891.3
L019	E4	RioVerde	GO	-17.8	-51.93	B1	4367.5
L019	E4	RioVerde	GO	-17.8	-51.93	B2	3632.3
L019	E4	RioVerde	GO	-17.8	-51.93	B3	3195.4
L020	E4	RioVerde	GO	-17.8	-51.93	B1	4367.9
